iter	RMSE
0	150.7508689
1	142.2979173
2	134.4625357
3	127.4507568
4	120.8980835
5	115.0177487
6	109.5324422
7	104.8248541
8	100.4254635
9	95.99892243
10	92.10098371
11	88.47025419
12	85.10960458
13	82.04070376
14	79.0830492
15	76.27366516
16	73.73287319
17	71.25170415
18	69.07625736
19	66.99414635
20	64.90617734
21	62.80150789
22	60.92868556
23	59.10908451
24	57.38287413
25	55.65549786
26	54.11577429
27	52.57236138
28	51.13378593
29	49.73607202
30	48.40452935
31	47.18359163
32	45.96107798
33	44.80352286
34	43.69190553
35	42.60031809
36	41.55173853
37	40.47849882
38	39.53022639
39	38.60140424
40	37.73146901
41	36.88495727
42	35.9981165
43	35.25824009
44	34.50823051
45	33.74169402
46	33.05046863
47	32.32599275
48	31.60887582
49	30.92244333
50	30.25629434
51	29.60709245
52	29.02514572
53	28.44664465
54	27.87057901
55	27.33831462
56	26.81734328
57	26.31545135
58	25.83703479
59	25.37874004
60	24.88546176
61	24.41605519
62	23.98913888
63	23.53523756
64	23.11735474
65	22.71668868
66	22.31447558
67	21.96238185
68	21.59541503
69	21.23303955
70	20.8754583
71	20.55291584
72	20.2050413
73	19.89478672
74	19.58139249
75	19.27099929
76	18.98089067
77	18.69511121
78	18.4133894
79	18.15093831
80	17.87511615
81	17.61988663
82	17.37259562
83	17.12607452
84	16.88459078
85	16.66996369
86	16.43966204
87	16.22976844
88	16.00982118
89	15.7960662
90	15.59358543
91	15.39141233
92	15.20891103
93	15.0168212
94	14.82804657
95	14.65550987
96	14.48356099
97	14.31810014
98	14.15149768
99	13.99051787
100	13.82998941
101	13.67096668
102	13.51950855
103	13.37282415
104	13.23246776
105	13.10021768
106	12.97360579
107	12.83665756
108	12.71268061
109	12.59149434
110	12.47635389
111	12.35307496
112	12.2398039
113	12.1330238
114	12.03259962
115	11.93395783
116	11.83073167
117	11.72930125
118	11.63433687
119	11.54750463
120	11.45249888
121	11.36855765
122	11.28817001
123	11.20526345
124	11.12584327
125	11.04803173
126	10.9727534
127	10.90730608
128	10.83154386
129	10.76670324
130	10.69982919
131	10.63591455
132	10.56798824
133	10.50519866
134	10.44839607
135	10.3881368
136	10.33484604
137	10.27841608
138	10.22275154
139	10.1721298
140	10.12385678
141	10.07266337
142	10.01791148
143	9.969942139
144	9.924140948
145	9.877263632
146	9.834828868
147	9.792549973
148	9.749440648
149	9.711328263
150	9.673863457
151	9.633152547
152	9.582906251
153	9.546803787
154	9.508243444
155	9.472011571
156	9.441696948
157	9.381059118
158	9.34886318
159	9.314375866
160	9.283572554
161	9.250181875
162	9.220931551
163	9.19309189
164	9.151191126
165	9.124063633
166	9.09882668
167	9.071790188
168	9.047359193
169	9.018251676
170	8.994417821
171	8.945961816
172	8.918489525
173	8.896440299
174	8.864076825
175	8.844429146
176	8.823230991
177	8.802604076
178	8.78128006
179	8.76104785
180	8.732937768
181	8.693602707
182	8.675066748
183	8.647388016
184	8.630546783
185	8.5942919
186	8.559594472
187	8.532300244
188	8.513764279
189	8.496450716
190	8.480643015
191	8.450528471
192	8.4334913
193	8.410778981
194	8.387267516
195	8.369349051
196	8.352287367
197	8.338709887
198	8.308144385
199	8.288088824
200	8.256460148
201	8.235126521
202	8.220015633
203	8.198833373
204	8.18618965
205	8.163581493
206	8.150985955
207	8.138465653
208	8.111379515
209	8.084292559
210	8.065091929
211	8.054182784
212	8.04289635
213	8.028582014
214	8.017980395
215	7.991241672
216	7.975405379
217	7.962731611
218	7.944364666
219	7.931175103
220	7.903925345
221	7.881069323
222	7.866005215
223	7.84855312
224	7.830491455
225	7.809108469
226	7.792670617
227	7.782796535
228	7.773894772
229	7.76084688
230	7.750702921
231	7.740507145
232	7.72951062
233	7.721203862
234	7.699499519
235	7.683884171
236	7.6653545
237	7.652717265
238	7.63684179
239	7.620686962
240	7.606643552
241	7.587620486
242	7.565878074
243	7.556897088
244	7.549784146
245	7.53228416
246	7.525757006
247	7.50656743
248	7.4941601
249	7.484915269
250	7.472864145
251	7.461469052
252	7.444965393
253	7.432253414
254	7.423185731
255	7.408556272
256	7.400261353
257	7.391008228
258	7.380864026
259	7.37372273
260	7.353084798
261	7.345852011
262	7.325753234
263	7.309862985
264	7.286579988
265	7.268525326
266	7.248981291
267	7.230253654
268	7.217568899
269	7.20538115
270	7.19377961
271	7.185577595
272	7.177351292
